community,mode,money,place,type1
坚基公馆,整租 | 大量希尔顿公馆精装一房两房出租1400元起租,1400,源城城区,1室     39㎡
万隆城,整租 | 沃尔玛楼上 万隆城欧式公寓 家电齐全 随时可以看,1500,源城城区,1室     45㎡
丽日中心城,整租 | 丽日商城 精装标准一房一厅 拎包入住,1100,源城城区,1室     52㎡
华达凯旋国际,整租 | （凯旋国际）（多套）2房 万隆城旁 家私电器齐全 拎,1700,源城城区,2室     75㎡
雅居乐花园新地,整租 | 雅居乐新地 106平三房 朝南向 好楼层 包物业带车,2600,源城城区,3室     109㎡
雅居乐花园,整租 | 坚基商圈 雅居乐三房 小清新风格 看房电话联系,1800,源城城区,3室     99㎡
理想家园,整租 | 理想家园 3室2厅2卫 2600元月 电梯房 豪华装,2600,东源城区,3室     125㎡
坚基美丽城,整租 | 坚基美丽城3房2厅2卫家私家电齐全中间楼层朝南,2300,源城城区,3室     94.16㎡
碧桂园凤雅苑,整租 | 碧桂园凤雅苑 4室2厅2卫 3300元月 130平,3300,源城城区,4室     120㎡
深业塞纳湾,整租 | 万达广场附近 塞纳湾 2房出租,1800,东源城区,2室     78㎡
华城国际,整租 | 出租华城国际，1800包物业，3房2厅，带家具家电，,1600,和平城区,3室     135㎡
汇贤苑,整租 | 大學城精裝修.一房一厅精装修.家电家具齐全.拎包入住,950,源城城区,1室     60㎡
江山一品,整租 | 江山一品少有三房出租 看房方便 价格不贵,2500,源城城区,3室     108.61㎡
龙光城,整租 | 龙光城 3室2厅2卫 1200元月 电梯房 精装修,1200,源城城区,3室     87.25㎡
坚基公馆,整租 | 出租多套 坚基公馆 雅居乐花园 恒大名都 2房 3房,1600,源城城区,2室     85㎡
和平碧桂园,整租 | 高档小区碧桂园4房2厅，精装修，家具家电齐全 拎包入,2400,和平城区,4室     140㎡
和平中心花园,整租 | 出租，中心花园步梯2楼，三房两厅，带家具家电，拎包入,1100,和平城区,3室     120㎡
伊隆达小区,整租 | 和平一号花园电梯小3房出租.拎包入住.方便停车,1500,和平城区,3室     65㎡
和平1号花园,整租 | 出租和平一号电梯中高层，三房两厅，带家具家电，拎包入,1500,和平城区,3室     100㎡
恒大名都,整租 | 出租多套雅居乐恒大名都两房，温馨舒适，租金1700起,1700,源城城区,2室     70㎡
坚基公馆,整租 | 干净整洁，随时入住，坚基公馆 1200元 1室居 精,1200,源城城区,1室     43.32㎡
德润东方银座,整租 | 建设大道东方银座一房一厅900，小清新风格,900,源城城区,1室     53㎡
润宏居,整租 | 房间宽敞明亮，阳光充足，无中介，可短租，欢迎来电联系,400,源城城区,1室     28㎡
邦达新村,整租 | 河紫路邦达新村大三房出租，1400元！,1400,源城城区,3室     130㎡
龙光城,整租 | 河源大道南，龙光城，新三房，家电齐全，拎包入住，包物,1800,源城城区,3室     100㎡
龙光玖龙府,整租 | 出租多套 龙光玖龙府 3房 4房 家电齐全 拎包入住,2000,源城城区,3室     116㎡
碧桂园凤凰湾,整租 | 够笋！碧桂园凤凰湾188平方41，家私家电齐全，拎包,2500,源城城区,4室     188㎡
河源大道北117号住宅楼,整租 | 河源大道北117号住宅楼 1室厅1卫,800,源城城区,1室     35㎡
恒大名都,整租 | 多套恒大名都 一房 租1200起 一房一厅租1400,1200,源城城区,1室     51㎡
旺福小区,整租 | 本人房东 房子近人人乐 近广场 长期房 月租房 拎包,450,源城城区,1室     22㎡
金沟湾,整租 | 金沟湾 1室0厅1卫,900,源城城区,1室     35㎡
雅居乐花园,整租 | 出租雅居乐一期正南三房，仅租2500元即可拎包入住,2500,源城城区,3室     91㎡
华达凯旋国际,整租 | （万隆城旁）2房 凯旋国际 温馨小区 家私电器齐全,2000,源城城区,2室     75㎡
坚基公馆,整租 | 坚基公馆 3室2厅2卫 2600元月 电梯房 精装修,2600,源城城区,3室     101.84㎡
雅居乐花园,整租 | 坚基 雅居乐花园 5房2厅 领包入住,4200,源城城区,5室     140㎡
霸王花月亮湾,整租 | 东源 霸王花月亮湾 3房出租 拎包入住,2200,东源城区,3室     120㎡
世纪年华,整租 | 世纪年华 4房2厅2卫 家电齐全 拎包入住 3000,3000,源城城区,4室     105㎡
中泰金泽苑,整租 | 万绿广场中心 中泰金泽苑 2房2厅仅租1100,1100,源城城区,2室     68㎡
坚基公馆,整租 | 坚基公馆，精装2房拎包入住,2000,源城城区,2室     63㎡
坚基公馆,整租 | 多套坚基公馆两房两厅出租，家电齐全 拎包入住1800,1800,源城城区,2室     59㎡
祥福商住楼,整租 | 出租巴蜀国际对面 裕华楼 家私电齐全拎包入住 仅租1,1000,源城城区,3室     99㎡
雅居乐花园新地,整租 | 雅居乐花园新地 3室2厅2卫 2600元月 配套齐全,2600,源城城区,3室     106㎡
金色领地,整租 | 可押一付一 可短租 大量金色领地精装一房出租650起,650,源城城区,1室     39㎡
坚基公馆,整租 | 出租 希尔顿旁坚基公馆多套两房 拎包入住1600元起,1599,源城城区,2室     85㎡
雅居乐花园,整租 | 雅居乐花园 2室2厅1卫 1500元月 精装修，拎包,1500,源城城区,2室     74㎡
坚基公馆,整租 | 坚基公馆 1室1厅1卫 1300元月拎包入住,1300,源城城区,1室     33㎡
香堤雅湾,整租 | 香堤雅湾 滨水公园对面 电梯精装3房,2000,源城城区,3室     122㎡
龙光城,整租 | 龙光城 3室2厅2卫 1800元月 电梯房 精装修,1800,源城城区,3室     93㎡
雅居乐花园,整租 | 雅居乐花园 5室2厅2卫 3000元月 精装修 拎包,3000,源城城区,5室     168㎡
雅居乐花园,整租 | 雅居乐花园中间楼层视野开阔3房2厅2000元家私家电,2000,源城城区,3室     103㎡
源江学苑,整租 | 出租河源广技师对面源江学苑 120平4房仅租1600,1600,东源城区,4室     119㎡
华达凯旋国际,整租 | 华达凯旋国际 2室2厅1卫 1800元月 电梯房 精,1800,源城城区,2室     52㎡
雅居乐花园新地,整租 | 雅居乐花园4房2厅2卫生间隔断吗童,2800,源城城区,4室     130㎡
万隆城,整租 | 万隆城公寓 独立厨房阳台 家电齐全 有钥匙随时看房,1300,源城城区,1室     42㎡
雅居乐花园新地,整租 | 雅居乐花园新地 3室2厅2卫 2300元月 南北通透,2300,源城城区,3室     106.21㎡
文景小区,整租 | 文景小区电梯三楼大三房两厅，超长阳台朝南，居家舒服，,1300,源城城区,3室     118㎡
坚基公馆,整租 | 坚基公馆3房2厅2卫精装修家私家电齐全包物业2600,2600,源城城区,3室     101.8㎡
金色领地,整租 | 大量金色领地精装两房 家电齐全 拎包入住1100起,1100,源城城区,2室     75㎡
坚基公馆,整租 | 大量希尔顿公馆精装一房两房出租1400元起租,1400,源城城区,1室     39㎡
万隆城,整租 | 沃尔玛楼上 万隆城欧式公寓 家电齐全 随时可以看,1500,源城城区,1室     45㎡
丽日中心城,整租 | 丽日商城 精装标准一房一厅 拎包入住,1100,源城城区,1室     52㎡
华达凯旋国际,整租 | （凯旋国际）（多套）2房 万隆城旁 家私电器齐全 拎,1700,源城城区,2室     75㎡
雅居乐花园新地,整租 | 雅居乐新地 106平三房 朝南向 好楼层 包物业带车,2600,源城城区,3室     109㎡
雅居乐花园,整租 | 坚基商圈 雅居乐三房 小清新风格 看房电话联系,1800,源城城区,3室     99㎡
理想家园,整租 | 理想家园 3室2厅2卫 2600元月 电梯房 豪华装,2600,东源城区,3室     125㎡
坚基美丽城,整租 | 坚基美丽城3房2厅2卫家私家电齐全中间楼层朝南,2300,源城城区,3室     94.16㎡
碧桂园凤雅苑,整租 | 碧桂园凤雅苑 4室2厅2卫 3300元月 130平,3300,源城城区,4室     120㎡
万隆城,整租 | 万隆城丽枫公寓 家电齐全 （另外有多套可以选择）,1199,源城城区,1室     43㎡
坚基公馆,整租 | 坚基商圈 坚基公馆一房 大落地窗 采光敞亮 动静分区,1200,源城城区,1室     45㎡
雅居乐花园,整租 | 雅居乐实惠的三房1800k,1800,源城城区,3室     96㎡
沁园春晓,整租 | 公园西中心一号附近 沁园春晓标准精装 家私电齐全 拎,900,源城城区,1室     50㎡
雅居乐花园,整租 | 出租雅居乐花园二期，精装三房两卫，家私家电齐全,2000,源城城区,3室     110.98㎡
沁园春晓,整租 | 可押一付一 实拍沁园春晓精装一房 900,900,源城城区,1室     39㎡
万隆城,整租 | 万隆城公寓 1.8米床 家电齐全 有钥匙随时看房,1500,源城城区,1室     45㎡
雅居乐花园,整租 | 出租雅居乐精装一房，房子保养新，仅租1500元,1500,源城城区,1室     61㎡
雅居乐花园新地,整租 | 雅居乐新房4房2厅2卫精装修带家私家电朝花园出租28,2800,源城城区,4室     120㎡
坚基公馆,整租 | 坚基公馆，两房1800，拎包入住,1800,源城城区,2室     68㎡
坚基公馆,整租 | 坚基公馆独立一房一厅出租，拎包入住,1800,源城城区,1室     65.5㎡
华达凯旋国际,整租 | 凯旋国际精装修两房两厅一卫出租,2100,源城城区,2室     72㎡
中泰金泽苑,整租 | 金泽苑 万绿商业中心 2房2厅,900,源城城区,2室     74㎡
金色领地,整租 | 可押一付一 大量金色领地精装复式两房出租1100起,1100,源城城区,2室     73㎡
沁园春晓,整租 | 中心一号 沁园春晓 简欧精装一房一厅 来电即看,800,源城城区,1室     50㎡
华达凯旋国际,整租 | （万隆城旁）3房 凯旋国际温馨小区 大客厅 大阳台,2800,源城城区,3室     130㎡
雅居乐花园,整租 | 雅居乐花园复式有5个房间使用的，2000元拎包入住,2000,源城城区,3室     94.62㎡
雅居乐花园新地,整租 | 雅居乐新地 4房出租 高楼层非顶楼 南北通透 全新装,3300,源城城区,4室     130.31㎡
万隆城,整租 | 万隆城公寓 精致家电 家电齐全 有钥匙随时看房,1200,源城城区,1室     40㎡
坚基公馆,整租 | 坚基公馆 2室2厅1卫 2300元月包物业包网络,2300,源城城区,2室     65㎡
雅居乐花园,整租 | 坚基万达商圈 雅居乐花园 5房2厅 156平3000,3000,源城城区,5室     156㎡
雅居乐花园,整租 | 雅居乐花园3房2厅2卫家私家电齐全2100元,2000,源城城区,3室     108㎡
雅居乐花园,整租 | 笋租雅居乐两房两厅一卫，家私电齐全，仅租1700包物,1700,源城城区,2室     78㎡
雅居乐花园,整租 | 雅居乐大三房看花园安静,2000,源城城区,3室     100㎡
碧桂园东江凤凰城,整租 | （3房只需1100元）碧桂园凤凰城 拎包入住 配套,1100,源城城区,3室     90㎡
雅居乐花园新地,整租 | 出租新地精装三房，拎包入住，家私家电齐全,2300,源城城区,3室     91㎡
希尔顿公馆,整租 | 希尔顿公馆 1室1厅1卫 精装修 配套齐全,1700,源城城区,1室     47㎡
雅居乐花园,整租 | 大量雅居园精装两房 三房出租 家电齐全 拎包入住15,1500,源城城区,2室     72㎡
恒大名都,整租 | 恒大名都，精装3房，拎包入住,2500,源城城区,3室     126㎡
碧桂园东江凤凰城,整租 | 中骏世界城商圈 碧桂园温馨三房家私电齐全拎包入住密码,2500,源城城区,4室     125㎡
理想家园,整租 | 万达附近理想家园，4房2800全新优惠出租，楼层靓拎,2800,东源城区,4室     120㎡
碧桂园凤凰湾,整租 | 央企保利东塔旁 碧桂园凤凰湾 配套完善家私电器齐全,2500,源城城区,4室     119㎡
碧桂园凤凰湾,整租 | （带车位）大学城旁 碧桂园 南北对流 双主卧 双阳,2000,源城城区,4室     168㎡
汇景御府中央,整租 | 汇景御府中央 1室1厅1卫 1500元月 南北通透,1500,源城城区,1室     46.33㎡
汇景御府中央,整租 | 汇景御府中央 独立1室1厅1卫 1600元月 有大阳,1600,源城城区,1室     51㎡
丰泽都市名苑,整租 | 丰泽都市名苑 4室2厅2卫 2300元月 电梯房 精,2300,源城城区,4室     170㎡
雅居乐花园,整租 | 出租雅居乐二期三房两厅一卫，保养很新，仅租2000元,2000,源城城区,3室     102㎡
坚基公馆,整租 | 坚基公馆 2室2厅1卫 2300元月 靓房 精装修,2300,源城城区,2室     84㎡
恒大名都,整租 | 恒大名都一房一厅欧式风格家私家电齐全拎包入住1600,1600,源城城区,1室     53㎡
雅居乐花园,整租 | 雅居乐花园2房2厅家私家电齐全74平方朝南看花园,1800,源城城区,2室     74㎡
坚基公馆,整租 | 坚基公馆一房出租，家私电器齐全，拎包入住,1400,源城城区,1室     38.31㎡
恒大名都,整租 | 坚基商圈 恒大名都 1900包物业两房两厅 家私家电,1900,源城城区,2室     74㎡
雅居乐花园,整租 | 雅居乐花园 1室1厅1卫 1500元月 电梯房 精装,1500,源城城区,1室     61㎡
雅居乐花园,整租 | 三房朝南精装拎包入住,2100,源城城区,3室     98㎡
雅居乐花园,整租 | 雅居乐花园2房出租，拎包入住,1500,源城城区,2室     74㎡
坚基公馆,整租 | 坚基公馆一房出租，拎包入住,1300,源城城区,1室     33.88㎡
碧桂园东江凤凰城,整租 | 高铁新城 碧桂园 精装两房 欧式装修 保养新 花园中,1600,源城城区,2室     90㎡
坚基公馆,整租 | 坚基公馆两房，家电齐全，拎包入住，非D栋，租金200,2000,源城城区,2室     80㎡
雅居乐花园,整租 | 精美雅居乐二房 现代简约时尚 家私电齐全 拧包入住,1688,源城城区,2室     80㎡
坚基公馆,整租 | 坚基公馆三房拎包入住,2600,源城城区,3室     95㎡
金色领地,整租 | 租房专员 大量金色领地精装一房出租600,600,源城城区,1室     36㎡
坚基公馆,整租 | 坚基公馆，精装两房，拎包入住,2000,源城城区,2室     84㎡
碧桂园东江凤凰城,整租 | 碧桂园 精装修 3房2厅1卫 家私电器全新 环境好,1600,源城城区,3室     72㎡
雅居乐花园,整租 | 雅居乐花园 3室2厅1卫 2000元月 精装修 拎,2000,源城城区,3室     101.44㎡
坚基公馆,整租 | 坚基公馆 1室1厅1卫 1300元月 配套齐全 精装,1300,源城城区,1室     43㎡
雅居乐花园新地,整租 | 2800租雅居乐新地南北双阳台四房两厅两卫,2800,源城城区,4室     110㎡
长安新村,整租 | 长安街自然资源局旁边一房一厅出租650元出租可以做饭,650,源城城区,1室     43㎡
汇景御府中央,整租 | 汇景御府中央 独立1室1厅1卫 1700元月 采光好,1700,源城城区,1室     47.86㎡
金色领地,整租 | 可押一付一 可短租 大量金色领地精装一房出租650到,650,源城城区,1室     32㎡
雅居乐花园,整租 | 雅居乐花园一房两厅出租，拎包入住,1400,源城城区,1室     61.05㎡
坚基美好城,整租 | 坚基美好城三房两厅 精装修 家电齐全 拎包入住260,2600,源城城区,3室     98㎡
万隆城,整租 | 万隆城丽枫公寓 家电齐全 朝南 随时看房有钥匙,1200,源城城区,1室     43㎡
碧桂园凤雅苑,整租 | （大三房1400元）高铁新区 中骏世界城旁 碧桂园,1400,源城城区,3室     96㎡
雅居乐花园,整租 | 1900元租 雅居乐花园 舒适2房，拎包入住,1900,源城城区,2室     74㎡
碧桂园东江凤凰城,整租 | （4房只需2000元）中骏世界城商圈 家私电齐全,2000,源城城区,4室     119㎡
雅居乐君悦,整租 | 雅居乐君悦 3室2厅2卫 2600元月 豪华装修,2600,源城城区,3室     130.44㎡
雅居乐花园,整租 | 雅居乐温馨2房，拎包入住,1800,源城城区,2室     87㎡
雅居乐花园,整租 | 雅居乐一期精装两房 家电齐全拎包入住 租金1400包,1400,源城城区,2室     61㎡
坚基公馆,整租 | 坚基公馆 精装 二房一厅 出租,1700,源城城区,2室     63.31㎡
万隆城,整租 | 万隆城公寓 豪华家电 欧式1.8米大床 有钥匙随时看,1800,源城城区,1室     43㎡
雅居乐花园新地,整租 | 雅居乐新地精装3房，房子干净漂亮，通风明亮，家私电器,2400,源城城区,3室     91㎡
坚基美好嘉园,整租 | 坚基旁全新单间有冰箱洗衣机可做饭有网络押一付一600,600,源城城区,1室     30㎡
坚基公馆,整租 | 坚基公馆2300元包物业包网络家私家电齐全看房方便保,2300,源城城区,2室     84.7㎡
兴业城,整租 | 高新区管委会旁 兴业城 3房2厅,2100,源城城区,3室     93㎡
坚基公馆,整租 | 坚基公馆家私家电齐全2房2厅包物业2000元看房方便,2000,源城城区,2室     63㎡
华达凯旋城,整租 | 凯旋城四房二厅二卫岀租,2500,源城城区,4室     150㎡
雅居乐花园,整租 | 雅居乐花园 1室1厅1卫 1500元月 配套齐全 精,1500,源城城区,1室     61㎡
坚基公馆,整租 | 坚基公馆温馨二房二厅包物业包网络,2300,源城城区,2室     70㎡
万隆城,整租 | 出租 万隆城公寓 一房一卫有厨房 朝南向 看房方便,1580,源城城区,1室     41㎡
坚基公馆,整租 | 坚基公馆精装大两房 家私电齐全,2300,源城城区,2室     84.71㎡
希尔顿公馆,整租 | 希尔顿公馆 1室1厅1卫 1500元月拎包入住,1500,源城城区,1室     46㎡
坚基公馆,整租 | 坚基公馆豪华二房厅岀租,2200,源城城区,2室     70㎡
雅居乐花园,整租 | 雅居乐一房一卫巨笋岀租,1400,源城城区,1室     56㎡
雅居乐花园新地,整租 | 雅居乐新地 四房两厅两卫 家电齐全 拎包入住,3000,源城城区,4室     125㎡
坚基公馆,整租 | 坚基公馆二房二厅一卫出租,2000,源城城区,2室     48㎡
万隆城,整租 | 万隆城公寓 公主房 家电齐全 拎包入住 随时可以看房,1500,源城城区,1室     43㎡
坚基公馆,整租 | 坚基公馆家私家电齐全2200元瓷砖上墙保养新看房方便,2200,源城城区,2室     84.7㎡
雅居乐花园,整租 | （很靓）雅居乐精美两房 温馨舒适 家私电器齐全 拎包,1900,源城城区,2室     75㎡
坚基美好城,整租 | 坚基美好城 3室2厅2卫 2600元月 配套齐全 精,2600,源城城区,3室     112㎡
雅居乐花园,整租 | 雅居乐花园家私家电齐全精装修1500元看房方便,1500,源城城区,1室     53㎡
大世纪威尼斯花园,整租 | 威尼斯别墅精装6房3厅 家私家电齐全 直接拎包入住,4500,源城城区,6室     300㎡
理想家园,整租 | 万达广场附近 理想家园 全新未入住 3房2厅2卫 可,2300,东源城区,3室     125㎡
坚基美丽城,整租 | 4房 鸿大城 坚基美丽城2600月！,2600,源城城区,4室     124㎡
金色领地,整租 | 可押一付一 实拍大量金色精装一房 可做饭来电马上可以,650,源城城区,1室     35㎡
万隆城,整租 | 万隆城公寓 （帅哥美女都住这里）高楼层 家电齐全,1500,源城城区,1室     43㎡
运恒花园,整租 | 运恒花园三房精装修电梯中层，拎包入住，租金1400元,1400,源城城区,3室     88㎡
坚基公馆,整租 | 坚基公馆 2室2厅1卫 2200元月 电梯房 精装修,2200,源城城区,2室     84.57㎡
深业塞纳湾,整租 | 万达广场附近 塞纳湾 2房出租,1800,东源城区,2室     78㎡
希尔顿公馆,整租 | 出租 坚基旁希尔顿公馆复试一房一厅 温馨舒适1500,1500,源城城区,1室     75㎡
雅居乐花园新地,整租 | 便宜便宜2500元租雅居乐新地4房2厅2卫精装修带家,2500,源城城区,4室     120㎡
希尔顿公馆,整租 | 希尔顿公馆 1室1厅1卫 1400元月 配套齐全,1400,源城城区,1室     46㎡
雅居乐花园新地,整租 | 全新精装未入住南北通透四房，简欧风格，拎包入住,3300,源城城区,4室     130.31㎡
雅居乐花园,整租 | 出租雅居乐两房，近学校近坚基商业中心,1500,源城城区,2室     74㎡
坚基公馆,整租 | 坚基公馆两房两厅出租 北欧风格 密码锁 随时可看房,2300,源城城区,2室     59㎡
万隆城,整租 | 万隆城公寓 朝南 家电齐全 拎包入住有钥匙随时看房,1300,源城城区,1室     42㎡
坚基公馆,整租 | 坚基公馆，精装两房。拎包入住,2300,源城城区,2室     68㎡
雅居乐花园,整租 | 雅居乐一期 124平三房 配套齐全 租金2500元包,2500,源城城区,3室     124㎡
雅居乐御宾府,整租 | 包物业！包车位！ 雅居乐御宾府 精装修三房两厅 拎包,3000,源城城区,3室     105㎡
希尔顿公馆,整租 | 坚基旁 希尔顿一房两厅两卫 复式公寓 采光明亮 看房,1500,源城城区,1室     75㎡
阳光星座,整租 | 实拍火车站阳光星座精装复式一房一厅1000,1000,源城城区,1室     35㎡
阳光星座,整租 | 火车站附近 阳光星座 精美复式一房一厅 拎包入住,990,源城城区,1室     45㎡
万隆城,整租 | 多套万隆城公寓 1.8米床 家电齐全 有钥匙随时可以,1700,源城城区,1室     45㎡
雅居乐花园,整租 | 雅居乐一期大三房出租，家私家电齐全，拎包入住,2300,源城城区,3室     122㎡
雅居乐花园,整租 | 雅居乐花园 1室1厅1卫 1400元月 配套齐全,1400,源城城区,1室     61㎡
恒大名都,整租 | 恒大名都4房2厅2卫140平家私家电齐全看房方便有钥,2500,源城城区,4室     140.75㎡
金色领地,整租 | 可押一付一 可短租 大量金色领地精装一房出租650到,650,源城城区,1室     33㎡
雅居乐花园,整租 | 雅居乐花园家私家电齐全1500元看房方便有钥匙,1500,源城城区,1室     61㎡
雅居乐花园新地,整租 | 雅居乐花园新地 4室2厅2卫 3100元月 配套齐全,3100,源城城区,4室     130㎡
坚基公馆,整租 | 坚基公馆 2室2厅1卫 2300元月 靓房 精装修,2300,源城城区,2室     84.74㎡
碧桂园东江凤凰城,整租 | 江东新区 碧桂园凤凰城 3房2厅 卫生干净 中高楼层,1800,源城城区,3室     112㎡
碧桂园东江凤凰城,整租 | 出租 江东新区 碧桂园凤馨苑 3房2厅2卫 中高层,1700,源城城区,3室     96㎡
坚基公馆,整租 | 坚基公馆 3室2厅2卫 2600元包物业月拎包入住,2600,源城城区,3室     101㎡
坚基公馆,整租 | 坚基公馆 2室2厅1卫 2300元月 精装修,2300,源城城区,2室     84㎡
香堤御景湾,整租 | 香堤御景湾 3房2厅 江景视野好,1800,源城城区,3室     83㎡
雅居乐花园,整租 | 雅居乐花园 3室2厅1卫 2000元月 精装修 拎包,2000,源城城区,3室     102㎡
恒大名都,整租 | 坚基附近 恒大名都一房一厅欧式风格拎包入住1600租,1600,源城城区,1室     53㎡
坚基公馆,整租 | 坚基公馆2房2厅家私家电齐全精装修2000元，看房方,2000,源城城区,2室     63㎡
坚基公馆,整租 | 坚基公馆一房一厅出租，家私电器齐全,1300,源城城区,1室     43.12㎡
雅居乐花园,整租 | 真实在租，出租雅居乐两房，简单温馨，租金1500，随,1500,源城城区,2室     61㎡
理想家园,整租 | 理想家园，首茨出租，拎包入住,2600,东源城区,3室     125㎡
雅居乐花园,整租 | 雅居乐花园2房2厅朝花园家私家电齐全保养新,2000,源城城区,2室     74㎡
坚基公馆,整租 | 坚基公馆 2室2厅1卫 2000元月 精装修 电梯房,2000,源城城区,2室     63.31㎡
雅居乐花园,整租 | 出租雅居乐精装三房，家私家电齐全，拎包入住,1800,源城城区,3室     94㎡
雅居乐花园新地,整租 | 雅居乐新地2房2厅1卫精装修空房出租1200元,1200,源城城区,2室     70㎡
