楼盘,月租/元,城区,面积/m²,居室
坚基美丽城,2300,源城城区,94.16㎡,3室
碧桂园凤雅苑,3300,源城城区,120㎡,4室
深业塞纳湾,1800,东源城区,78㎡,2室
华城国际,1600,和平城区,135㎡,3室
汇贤苑,950,源城城区,60㎡,1室
江山一品,2500,源城城区,108.61㎡,3室
龙光城,1200,源城城区,87.25㎡,3室
坚基公馆,1600,源城城区,85㎡,2室
和平碧桂园,2400,和平城区,140㎡,4室
和平中心花园,1100,和平城区,120㎡,3室
伊隆达小区,1500,和平城区,65㎡,3室
和平1号花园,1500,和平城区,100㎡,3室
恒大名都,1700,源城城区,70㎡,2室
坚基公馆,1200,源城城区,43.32㎡,1室
德润东方银座,900,源城城区,53㎡,1室
润宏居,400,源城城区,28㎡,1室
邦达新村,1400,源城城区,130㎡,3室
龙光城,1800,源城城区,100㎡,3室
龙光玖龙府,2000,源城城区,116㎡,3室
碧桂园凤凰湾,2500,源城城区,188㎡,4室
河源大道北117号住宅楼,800,源城城区,35㎡,1室
恒大名都,1200,源城城区,51㎡,1室
旺福小区,450,源城城区,22㎡,1室
金沟湾,900,源城城区,35㎡,1室
雅居乐花园,2500,源城城区,91㎡,3室
华达凯旋国际,2000,源城城区,75㎡,2室
坚基公馆,2600,源城城区,101.84㎡,3室
雅居乐花园,4200,源城城区,140㎡,5室
霸王花月亮湾,2200,东源城区,120㎡,3室
世纪年华,3000,源城城区,105㎡,4室
中泰金泽苑,1100,源城城区,68㎡,2室
坚基公馆,2000,源城城区,63㎡,2室
坚基公馆,1800,源城城区,59㎡,2室
祥福商住楼,1000,源城城区,99㎡,3室
雅居乐花园新地,2600,源城城区,106㎡,3室
金色领地,650,源城城区,39㎡,1室
坚基公馆,1599,源城城区,85㎡,2室
雅居乐花园,1500,源城城区,74㎡,2室
坚基公馆,1300,源城城区,33㎡,1室
香堤雅湾,2000,源城城区,122㎡,3室
龙光城,1800,源城城区,93㎡,3室
雅居乐花园,3000,源城城区,168㎡,5室
雅居乐花园,2000,源城城区,103㎡,3室
源江学苑,1600,东源城区,119㎡,4室
华达凯旋国际,1800,源城城区,52㎡,2室
雅居乐花园新地,2800,源城城区,130㎡,4室
万隆城,1300,源城城区,42㎡,1室
雅居乐花园新地,2300,源城城区,106.21㎡,3室
文景小区,1300,源城城区,118㎡,3室
坚基公馆,2600,源城城区,101.8㎡,3室
金色领地,1100,源城城区,75㎡,2室
坚基公馆,1400,源城城区,39㎡,1室
万隆城,1500,源城城区,45㎡,1室
丽日中心城,1100,源城城区,52㎡,1室
华达凯旋国际,1700,源城城区,75㎡,2室
雅居乐花园新地,2600,源城城区,109㎡,3室
雅居乐花园,1800,源城城区,99㎡,3室
理想家园,2600,东源城区,125㎡,3室
坚基美丽城,2300,源城城区,94.16㎡,3室
碧桂园凤雅苑,3300,源城城区,120㎡,4室
万隆城,1199,源城城区,43㎡,1室
坚基公馆,1200,源城城区,45㎡,1室
雅居乐花园,1800,源城城区,96㎡,3室
沁园春晓,900,源城城区,50㎡,1室
雅居乐花园,2000,源城城区,110.98㎡,3室
沁园春晓,900,源城城区,39㎡,1室
万隆城,1500,源城城区,45㎡,1室
雅居乐花园,1500,源城城区,61㎡,1室
雅居乐花园新地,2800,源城城区,120㎡,4室
坚基公馆,1800,源城城区,68㎡,2室
坚基公馆,1800,源城城区,65.5㎡,1室
华达凯旋国际,2100,源城城区,72㎡,2室
中泰金泽苑,900,源城城区,74㎡,2室
金色领地,1100,源城城区,73㎡,2室
沁园春晓,800,源城城区,50㎡,1室
华达凯旋国际,2800,源城城区,130㎡,3室
雅居乐花园,2000,源城城区,94.62㎡,3室
雅居乐花园新地,3300,源城城区,130.31㎡,4室
万隆城,1200,源城城区,40㎡,1室
坚基公馆,2300,源城城区,65㎡,2室
雅居乐花园,3000,源城城区,156㎡,5室
雅居乐花园,2000,源城城区,108㎡,3室
雅居乐花园,1700,源城城区,78㎡,2室
雅居乐花园,2000,源城城区,100㎡,3室
碧桂园东江凤凰城,1100,源城城区,90㎡,3室
雅居乐花园新地,2300,源城城区,91㎡,3室
希尔顿公馆,1700,源城城区,47㎡,1室
雅居乐花园,1500,源城城区,72㎡,2室
恒大名都,2500,源城城区,126㎡,3室
碧桂园东江凤凰城,2500,源城城区,125㎡,4室
理想家园,2800,东源城区,120㎡,4室
碧桂园凤凰湾,2500,源城城区,119㎡,4室
碧桂园凤凰湾,2000,源城城区,168㎡,4室
汇景御府中央,1500,源城城区,46.33㎡,1室
汇景御府中央,1600,源城城区,51㎡,1室
丰泽都市名苑,2300,源城城区,170㎡,4室
雅居乐花园,2000,源城城区,102㎡,3室
坚基公馆,2300,源城城区,84㎡,2室
恒大名都,1600,源城城区,53㎡,1室
雅居乐花园,1800,源城城区,74㎡,2室
坚基公馆,1400,源城城区,38.31㎡,1室
恒大名都,1900,源城城区,74㎡,2室
雅居乐花园,1500,源城城区,61㎡,1室
雅居乐花园,2100,源城城区,98㎡,3室
雅居乐花园,1500,源城城区,74㎡,2室
坚基公馆,1300,源城城区,33.88㎡,1室
碧桂园东江凤凰城,1600,源城城区,90㎡,2室
坚基公馆,2000,源城城区,80㎡,2室
雅居乐花园,1688,源城城区,80㎡,2室
坚基公馆,2600,源城城区,95㎡,3室
金色领地,600,源城城区,36㎡,1室
坚基公馆,2000,源城城区,84㎡,2室
碧桂园东江凤凰城,1600,源城城区,72㎡,3室
雅居乐花园,2000,源城城区,101.44㎡,3室
坚基公馆,1300,源城城区,43㎡,1室
雅居乐花园新地,2800,源城城区,110㎡,4室
长安新村,650,源城城区,43㎡,1室
汇景御府中央,1700,源城城区,47.86㎡,1室
金色领地,650,源城城区,32㎡,1室
雅居乐花园,1400,源城城区,61.05㎡,1室
坚基美好城,2600,源城城区,98㎡,3室
万隆城,1200,源城城区,43㎡,1室
碧桂园凤雅苑,1400,源城城区,96㎡,3室
雅居乐花园,1900,源城城区,74㎡,2室
碧桂园东江凤凰城,2000,源城城区,119㎡,4室
雅居乐君悦,2600,源城城区,130.44㎡,3室
雅居乐花园,1800,源城城区,87㎡,2室
雅居乐花园,1400,源城城区,61㎡,2室
坚基公馆,1700,源城城区,63.31㎡,2室
万隆城,1800,源城城区,43㎡,1室
雅居乐花园新地,2400,源城城区,91㎡,3室
坚基美好嘉园,600,源城城区,30㎡,1室
坚基公馆,2300,源城城区,84.7㎡,2室
兴业城,2100,源城城区,93㎡,3室
坚基公馆,2000,源城城区,63㎡,2室
华达凯旋城,2500,源城城区,150㎡,4室
雅居乐花园,1500,源城城区,61㎡,1室
坚基公馆,2300,源城城区,70㎡,2室
万隆城,1580,源城城区,41㎡,1室
坚基公馆,2300,源城城区,84.71㎡,2室
希尔顿公馆,1500,源城城区,46㎡,1室
坚基公馆,2200,源城城区,70㎡,2室
雅居乐花园,1400,源城城区,56㎡,1室
雅居乐花园新地,3000,源城城区,125㎡,4室
坚基公馆,2000,源城城区,48㎡,2室
万隆城,1500,源城城区,43㎡,1室
坚基公馆,2200,源城城区,84.7㎡,2室
雅居乐花园,1900,源城城区,75㎡,2室
坚基美好城,2600,源城城区,112㎡,3室
雅居乐花园,1500,源城城区,53㎡,1室
大世纪威尼斯花园,4500,源城城区,300㎡,6室
理想家园,2300,东源城区,125㎡,3室
坚基美丽城,2600,源城城区,124㎡,4室
金色领地,650,源城城区,35㎡,1室
万隆城,1500,源城城区,43㎡,1室
运恒花园,1400,源城城区,88㎡,3室
坚基公馆,2200,源城城区,84.57㎡,2室
深业塞纳湾,1800,东源城区,78㎡,2室
希尔顿公馆,1500,源城城区,75㎡,1室
雅居乐花园新地,2500,源城城区,120㎡,4室
希尔顿公馆,1400,源城城区,46㎡,1室
雅居乐花园新地,3300,源城城区,130.31㎡,4室
雅居乐花园,1500,源城城区,74㎡,2室
坚基公馆,2300,源城城区,59㎡,2室
万隆城,1300,源城城区,42㎡,1室
坚基公馆,2300,源城城区,68㎡,2室
雅居乐花园,2500,源城城区,124㎡,3室
雅居乐御宾府,3000,源城城区,105㎡,3室
希尔顿公馆,1500,源城城区,75㎡,1室
阳光星座,1000,源城城区,35㎡,1室
阳光星座,990,源城城区,45㎡,1室
万隆城,1700,源城城区,45㎡,1室
雅居乐花园,2300,源城城区,122㎡,3室
雅居乐花园,1400,源城城区,61㎡,1室
恒大名都,2500,源城城区,140.75㎡,4室
金色领地,650,源城城区,33㎡,1室
雅居乐花园,1500,源城城区,61㎡,1室
雅居乐花园新地,3100,源城城区,130㎡,4室
坚基公馆,2300,源城城区,84.74㎡,2室
碧桂园东江凤凰城,1800,源城城区,112㎡,3室
碧桂园东江凤凰城,1700,源城城区,96㎡,3室
坚基公馆,2600,源城城区,101㎡,3室
坚基公馆,2300,源城城区,84㎡,2室
香堤御景湾,1800,源城城区,83㎡,3室
雅居乐花园,2000,源城城区,102㎡,3室
恒大名都,1600,源城城区,53㎡,1室
坚基公馆,2000,源城城区,63㎡,2室
坚基公馆,1300,源城城区,43.12㎡,1室
雅居乐花园,1500,源城城区,61㎡,2室
理想家园,2600,东源城区,125㎡,3室
雅居乐花园,2000,源城城区,74㎡,2室
坚基公馆,2000,源城城区,63.31㎡,2室
雅居乐花园,1800,源城城区,94㎡,3室
雅居乐花园新地,1200,源城城区,70㎡,2室
雅居乐花园,2000,源城城区,128㎡,3室
雅居乐花园,1500,源城城区,61㎡,1室
沁园春晓,900,源城城区,50㎡,1室
碧桂园东江凤凰城,1300,源城城区,90㎡,2室
雅居乐花园,1400,源城城区,51㎡,1室
坚基公馆,1100,源城城区,45㎡,1室
雅居乐花园,2000,源城城区,93.36㎡,3室
雅居乐花园新地,2300,源城城区,81㎡,3室
雅居乐花园,2100,源城城区,91.08㎡,3室
运恒花园,500,源城城区,36㎡,1室
雅居乐花园,2000,源城城区,124㎡,3室
文景小区,1200,源城城区,126㎡,4室
雅居乐花园,2000,源城城区,94㎡,3室
金华花园,1500,龙川城区,110㎡,3室
金色领地,650,源城城区,33㎡,1室
雅居乐花园,3200,源城城区,158㎡,4室
义乌小商品批发城,1000,源城城区,38㎡,1室
阳光星座,900,源城城区,43㎡,1室
坚基公馆,1300,源城城区,43.12㎡,1室
邦达新村,1500,源城城区,130㎡,3室
坚基公馆,2800,源城城区,90㎡,3室
江景华庭,900,源城城区,36㎡,1室
雅居乐花园,1400,源城城区,74㎡,2室
坚基美丽城,2500,源城城区,94㎡,3室
广晟学府花园汇博苑,1700,源城城区,78㎡,2室
东江豪苑,1399,源城城区,85.80㎡,2室
碧桂园凤雅苑,3300,源城城区,120㎡,4室
臻和院,270,源城城区,30㎡,1室
丰泽都市名苑,2300,源城城区,170㎡,4室
坚基美好嘉园,600,源城城区,30㎡,1室
华业苑,2000,源城城区,146㎡,3室
雅居乐御宾府,3000,源城城区,105㎡,3室
河源大道北117号住宅楼,800,源城城区,35㎡,1室
运恒花园,500,源城城区,36㎡,1室
江泮花城,1600,源城城区,92㎡,3室
坚基公馆,499,源城城区,49㎡,1室
百利保花园,1100,龙川城区,131㎡,3室
沁园春晓,900,源城城区,40㎡,1室
东悦华庭,750,源城城区,68㎡,2室
御福花园(源城),3000,源城城区,170㎡,4室
丽日中心城,1500,源城城区,60㎡,1室
铭成花园,2200,源城城区,115㎡,3室
文昌花园,2000,源城城区,101㎡,3室
绿苑,1500,源城城区,100㎡,3室
金色领地,1000,源城城区,79㎡,2室
长鸿花园,2300,源城城区,138㎡,4室
雅居乐花园,1200,源城城区,58㎡,1室
润隆居(源城),1800,源城城区,120㎡,3室
邦达新村,1400,源城城区,130㎡,3室
汇景外滩8号,3000,源城城区,106㎡,3室
雅居乐花园新地,1800,源城城区,117㎡,3室
名仕家园,1600,源城城区,112㎡,3室
雅居乐花园,1800,源城城区,120㎡,3室
文景小区,900,源城城区,89㎡,3室
高岭顶安置小区,700,源城城区,45㎡,1室
华达凯旋国际,2600,源城城区,110㎡,3室
方圆月岛首府,1500,紫金城区,10㎡,4室
坚基公馆,1600,源城城区,85㎡,2室
金色领地,1300,源城城区,66㎡,2室
恒大名都,600,源城城区,35㎡,1室
万隆城,1700,源城城区,43.22㎡,1室
汇龙小区,1000,龙川城区,105㎡,4室
安逸苑,1200,源城城区,117㎡,3室
幸福小区,500,源城城区,29㎡,1室
凤馨苑,2500,源城城区,138㎡,4室
和平1号花园,1500,和平城区,100㎡,3室
裕隆花园,1700,源城城区,125㎡,3室
龙川碧桂园,3000,龙川城区,143㎡,4室
源江豪庭,950,东源城区,50㎡,2室
龙川碧桂园,1600,龙川城区,117㎡,3室
碧桂园东江凤凰城,2000,源城城区,167㎡,4室
永福小区,1000,源城城区,100㎡,3室
雅居乐花园(别墅),1650,源城城区,75.0㎡,2室
浩创花语城,1600,东源城区,43㎡,1室
东江豪庭,600,龙川城区,20㎡,1室
家和大厦,1500,龙川城区,93㎡,3室
香堤雅湾,1400,源城城区,126㎡,3室
翡翠星城,1000,源城城区,46㎡,1室
明珠华庭,800,源城城区,36㎡,1室
宝豪御龙湾二期,2500,源城城区,106㎡,3室
雅居乐花园,1600,源城城区,61㎡,2室
康德名都,2600,源城城区,115㎡,3室
坚基公馆,1400,源城城区,38.33㎡,1室
雅居乐花园新地,3800,源城城区,144.48㎡,5室
俊园轩,1700,东源城区,126㎡,3室
雅居乐花园,1800,源城城区,93㎡,3室
茶园小区,1000,源城城区,35㎡,2室
万隆一品,2500,源城城区,120㎡,4室
坚基公馆,2700,源城城区,90㎡,2室
万家和商住楼,1000,源城城区,120㎡,5室
雅居乐花园,2300,源城城区,98㎡,3室
恒大名都,1300,源城城区,58㎡,1室
锦绣名雅,1300,源城城区,98㎡,2室
骏景花园(龙川),2500,龙川城区,139㎡,4室
碧桂园东江凤凰城,2300,源城城区,167㎡,4室
和平中心花园,1100,和平城区,120㎡,3室
碧桂园凤凰湾,4200,源城城区,153㎡,4室
汇福楼,700,和平城区,64㎡,2室
凤馨苑,2500,源城城区,148㎡,4室
广晟学府花园,1700,源城城区,103㎡,3室
东方比华利山庄,1300,源城城区,100㎡,3室
检察院宿舍,1900,源城城区,220㎡,5室
万绿商业广场,600,源城城区,51㎡,2室
碧桂园东江凤凰城,1800,源城城区,120㎡,3室
星荟公馆,900,源城城区,23㎡,1室
金色雅筑,750,源城城区,80㎡,3室
和平碧桂园,2400,和平城区,140㎡,4室
恒大名都,1700,源城城区,41㎡,1室
世纪年华,2500,源城城区,127㎡,2室
雅居乐花园,1800,源城城区,112㎡,3室
俊园轩,1699,东源城区,125㎡,3室
雅居乐花园,2000,源城城区,91.25㎡,3室
华达凯旋国际,2100,源城城区,75㎡,2室
龙光玖龙府,2999,源城城区,128㎡,4室
朱门亭,350,源城城区,15㎡,1室
宝晟城,2500,东源城区,130㎡,3室
金色领地,800,源城城区,60㎡,2室
雅居乐花园,2180,源城城区,80㎡,3室
广晟学府花园汇博苑,1500,源城城区,75㎡,2室
金蓬美域,2200,源城城区,100㎡,3室
大同南路住宅,400,源城城区,30㎡,1室
兴泰花园,1800,龙川城区,110㎡,2室
友诚花园,400,源城城区,35㎡,1室
理想家园,3000,东源城区,135㎡,4室
恒大名都,1598,源城城区,57㎡,1室
雅居乐花园,1800,源城城区,73㎡,2室
翡翠星城,800,源城城区,43㎡,1室
金源小区,3500,源城城区,260㎡,6室
御水花园,1300,和平城区,100㎡,3室
龙光玖龙府,3000,源城城区,129㎡,4室
民乐楼,800,源城城区,70㎡,2室
碧桂园东江凤凰城,1800,源城城区,86㎡,2室
高岭顶安置小区,600,源城城区,25㎡,1室
翡翠星城,1800,源城城区,86㎡,2室
时代花园,2500,源城城区,130㎡,3室
翡翠星城,2200,源城城区,123㎡,3室
碧桂园东江凤凰城,1500,源城城区,87㎡,2室
骏景花园(源城),2000,源城城区,105㎡,3室
恒大名都,2900,源城城区,117㎡,3室
雅居乐花园新地,2300,源城城区,100㎡,3室
万隆城,1200,源城城区,40㎡,1室
润隆居(源城),2000,源城城区,115㎡,4室
金色领地,600,源城城区,30㎡,1室
碧洋居,600,源城城区,50㎡,2室
家和水岸沁园,1000,龙川城区,100㎡,3室
雅香苑,1500,龙川城区,138㎡,4室
德润世家,2000,源城城区,123㎡,3室
河源广场,1700,源城城区,105㎡,3室
虹景小区,850,源城城区,75㎡,2室
十里东岸,2300,紫金城区,110㎡,3室
铂雅苑金麟府,1300,源城城区,100㎡,2室
恒大名都,2000,源城城区,102.0㎡,3室
相印花园,1100,龙川城区,110㎡,4室
雅居乐花园,2000,源城城区,95㎡,3室
金色领地,1200,源城城区,40㎡,2室
民旺小区,450,源城城区,30㎡,1室
御水花园,2500,和平城区,130㎡,4室
黄石岭小区,1000,源城城区,100㎡,3室
华达凯旋国际,2800,源城城区,124㎡,3室
碧桂园东江凤凰城,1600,源城城区,90㎡,3室
长城华景苑,2500,龙川城区,120㎡,3室
雅居乐花园,1900,源城城区,76㎡,2室
雅居乐花园新地,2000,源城城区,92㎡,4室
锦绣家园,900,龙川城区,125㎡,4室
嘉源楼,500,源城城区,50㎡,2室
怡景云天,1699,源城城区,133㎡,3室
广晟学府花园,700,源城城区,30㎡,1室
雅居乐花园新地,1200,源城城区,72㎡,2室
骏景花园(源城),1800,源城城区,108㎡,3室
金色领地,700,源城城区,35㎡,1室
万隆一品,2500,源城城区,118㎡,3室
雅居乐花园(别墅),1799,源城城区,72㎡,2室
丰源新村,780,源城城区,90㎡,3室
丽日中心城,1200,源城城区,34.0㎡,1室
福新大厦,1600,源城城区,82㎡,3室
新达居,1700,源城城区,98㎡,3室
雅居乐花园新地,2800,源城城区,130㎡,4室
俊园轩,1600,东源城区,125㎡,3室
碧桂园凤雅苑,1600,源城城区,90㎡,3室
比华利山庄,1800,源城城区,85㎡,2室
金蓬美域,2200,源城城区,106㎡,3室
恒基大厦,280,源城城区,50㎡,1室
旺福小区,480,源城城区,35㎡,1室
顺和新苑,1000,源城城区,87㎡,2室
宝晟城,2000,东源城区,85㎡,3室
香堤雅湾,1500,源城城区,84㎡,2室
百信梧桐嘉园,2000,紫金城区,105㎡,3室
丽日中心城,1200,源城城区,35㎡,1室
泰和江畔城市主场,2500,源城城区,99㎡,3室
凤馨苑,1800,源城城区,107㎡,3室
华达新城,3300,源城城区,147㎡,4室
龙川碧桂园,4800,龙川城区,240㎡,5室
绿苑,1500,源城城区,90㎡,3室
希尔顿公馆,1200,源城城区,34㎡,1室
恒大名都,1700,源城城区,74㎡,2室
世纪年华,2800,源城城区,125㎡,3室
德润东方银座,800,源城城区,45㎡,1室
恒大名都,2000,源城城区,74.00㎡,2室
河源美的城,1200,东源城区,105㎡,3室
恒大名都,1500,源城城区,51㎡,1室
沁园春晓,1799,源城城区,100㎡,2室
怡景云天,2500,源城城区,160㎡,4室
沁园春晓,800,源城城区,50㎡,1室
丽格雅苑,2200,东源城区,140㎡,4室
坚基公馆,600,源城城区,45㎡,1室
万绿商业广场,350,源城城区,42㎡,1室
大塘安置小区,1500,源城城区,108㎡,3室
雅居乐花园,1600,源城城区,76㎡,2室
华达凯旋国际,1800,源城城区,128㎡,3室
金色领地,300,源城城区,20㎡,1室
雅居乐花园,1800,源城城区,120㎡,4室
恒大名都,2100,源城城区,120㎡,3室
康德名都,2500,源城城区,115㎡,3室
碧桂园东江凤凰城,1800,源城城区,115㎡,3室
万绿商业广场,700,源城城区,45㎡,2室
希尔顿公馆,1400,源城城区,60㎡,1室
华达凯旋国际,2600,源城城区,103㎡,3室
龙光城,1500,源城城区,108.0㎡,3室
万隆城,1600,源城城区,79.00㎡,3室
星光源江学苑,2600,东源城区,158㎡,4室
旺福小区,600,源城城区,40㎡,1室
德欣豪庭,2000,源城城区,125㎡,3室
恒大名都,2100,源城城区,122㎡,3室
碧桂园东江凤凰城,2000,源城城区,116㎡,3室
碧桂园东江凤凰城,1000,源城城区,107.0㎡,3室
西岸悦湾,2500,龙川城区,115㎡,3室
东江首府,2900,源城城区,159㎡,3室
浩创花语城,1500,东源城区,46㎡,1室
雅居乐花园新地,1500,源城城区,97㎡,3室
坚基公馆,1200,源城城区,34.00㎡,1室
德润华府,2200,源城城区,118㎡,3室
丽日中心城,1500,源城城区,113.0㎡,2室
万隆一品,1900,源城城区,86㎡,2室
万厦虹景花园,1500,源城城区,92㎡,2室
碧桂园天麓山,2000,和平城区,112㎡,3室
金色领地,1500,源城城区,64㎡,2室
鸿翔华庭,1800,源城城区,128㎡,3室
坚基公馆,1600,源城城区,65㎡,2室
恒大名都,1800,源城城区,80㎡,2室
阳光星座,1000,源城城区,39㎡,1室
绿苑,1200,源城城区,101㎡,3室
明珠华庭,900,源城城区,45㎡,1室
雅居乐花园,2900,源城城区,160㎡,4室
香堤雅湾,2000,源城城区,119㎡,3室
恒大名都,1400,源城城区,80㎡,2室
御水花园,1500,和平城区,120㎡,3室
万绿春天,4000,东源城区,170㎡,4室
