chaoxiang,danjia,diqu,diqu1,diqu2,diqu3,jianjie,l1,l2,l3,l4,l5,l6,louceng,square,time,zongjia,
南,10000元/㎡,东江湾名门世家,源城,源城城区,"红星东路,近永康大道",名门世家 复式四居 带340平方平台，稀.缺资源!,4,室,2,厅,3,卫,低层(共26层),175㎡,2016年建造,175,
南北,4984元/㎡,敏捷悦江府,源城,源城城区,科技七路,市区江景4房 5.9米开间 大阳台 小区旁边就是公园,4,室,2,厅,2,卫,中层(共27层),122㎡,2021年建造,60.8,
南北,5196元/㎡,兴业城,源城,源城城区,兴业大道,手里5千买市中心的房子 小区对面就是学 校 免息3年,3,室,2,厅,2,卫,中层(共32层),92㎡,2021年建造,47.8,
南北,5956元/㎡,龙光城,源城,源城城区,河源大道,手里5千就能买的房子 自己买房不再为房东打工 送车位 员工价,3,室,2,厅,2,卫,中层(共32层),89㎡,2018年建造,53,
南北,7200元/㎡,明珠华庭,源城,源城城区,"东堤路,近青云路",江景房明珠华庭150平方4房，南北通，拎包入住,4,室,2,厅,2,卫,中层(共17层),150㎡,2015年建造,108,
东南,5814元/㎡,敏捷悦江府,源城,源城城区,科技七路,敏捷悦江府 50万买智能精装3房 支持公积金贷款 员工价,3,室,2,厅,2,卫,中层(共30层),86㎡,2019年建造,50,
西南,7450元/㎡,龙光城,源城,源城城区,河源大道,电梯房 精装修 87平 3室2厅 满二 住房 看房方便 有,3,室,2,厅,2,卫,中层(共18层),87.3㎡,2019年建造,65,
南,6195元/㎡,纯水岸,源城,源城城区,"长堤中路,近更楼下巷",笋房急售 纯水岸江景房中高层朝南3房103平 仅售63.8万,3,室,2,厅,2,卫,高层(共26层),103㎡,2013年建造,63.8,
南北,9292元/㎡,宝豪御龙湾二期,源城,源城城区,新兴路101号,御龙湾二期 四房两厅 瓷砖上墙仅售118万,4,室,2,厅,2,卫,中层(共32层),127㎡,2016年建造,118,
南北,5048元/㎡,敏捷悦江府,源城,源城城区,科技七路,首付 6万 精装四房员工价 南北通双阳台 一线江景 智能家居,4,室,2,厅,2,卫,中层(共33层),105㎡,2020年建造,53,
南,4211元/㎡,中昂祥云府,源城,源城城区,科技七路,首期3千 剩余全部按揭 月供仅2800 江景三房员工价,3,室,2,厅,2,卫,中层(共33层),95㎡,2020年建造,40,
南北,5500元/㎡,雅居乐花园,源城,源城城区,越王大道247号,市区单价5字头 免息分期 雅居乐明珠城 南北通双阳台,3,室,2,厅,2,卫,中层(共33层),100㎡,2020年建造,55,
南北,6821元/㎡,雅居乐君悦,源城,源城城区,文昌路,笋！雅居乐君悦 173平双主卧 南北通透 仅售118万！,5,室,2,厅,3,卫,低层(共28层),173㎡,2018年建造,118,
南北,5048元/㎡,敏捷悦江府,源城,源城城区,科技七路,5千就能买江景房 南北通精装4房 一线江景 近中小 学,4,室,2,厅,2,卫,中层(共32层),105㎡,2021年建造,53,
南,5524元/㎡,万达广场,东源,东源城区,东江大道,手里5千入住河源万达 小区对面就是公园 近中小 学,3,室,2,厅,2,卫,中层(共32层),105㎡,2021年建造,58,
东南,4180元/㎡,吉祥佳居,东源,东源城区,创业路,首期5万 100平方 楼层任选 蝴蝶居 全新毛坯 三房二卫,3,室,2,厅,2,卫,高层(共6层),100㎡,2021年建造,41.8,
南北,6043元/㎡,万达广场,东源,东源城区,东江大道,万达广场城市3房2厅2卫96平方仅售58万,3,室,2,厅,2,卫,低层(共31层),96㎡,2021年建造,58,
南,6768元/㎡,碧桂园凤凰台,源城,源城城区,建设大道,江东新区碧桂园凤凰台99平3房2厅仅63万朝南户型免用哦,3,室,2,厅,2,卫,中层(共32层),99㎡,2020年建造,67,
南北,7575元/㎡,华达新城,源城,源城城区,"永和东路,近越王大道",单价7字头送车位万隆旁深河华达新城4房174平方南北通中楼层,4,室,2,厅,3,卫,中层(共18层),174㎡,2013年建造,131.8,
南北,5715元/㎡,万达广场,东源,东源城区,东江大道,东源CBD万达广场开业钜惠单价5字头支持公积金贷款,3,室,2,厅,2,卫,中层(共32层),105㎡,2018年建造,60,
南北,6223元/㎡,碧桂园东江凤凰城,源城,源城城区,东环路,（单价6000元精装现房）中骏世界城商圈 碧桂园 大三房南北,3,室,2,厅,2,卫,中层(共28层),117㎡,2016年建造,72.8,
南北,6409元/㎡,万绿雅园,源城,源城城区,万绿湖大道,18万买万绿雅园3房2厅98平光线好三面光售62.8万,3,室,2,厅,2,卫,高层(共9层),98㎡,2015年建造,62.8,
南,9181元/㎡,万隆一品,源城,源城城区,永和西路169号,万隆一品 欧式豪装三房 可改四房 送豪装30万，价格可谈,3,室,2,厅,2,卫,高层(共18层),122㎡,,112,
北,7160元/㎡,雅居乐花园,源城,源城城区,越王大道247号,雅居乐花园 精装2房 带家私电 售63万 可直接入住,2,室,2,厅,1,卫,低层(共25层),88㎡,2015年建造,63,
南北,5278元/㎡,霸王花君临苑,东源,东源城区,"建设一路,近东源大道",业主急售5200元每平，5房，中间楼层，霸王花君临苑,5,室,2,厅,2,卫,高层(共18层),144㎡,2012年建造,76,
南北,5814元/㎡,万达广场,东源,东源城区,东江大道,单价6字头河源万达CBD南北通四房配套成熟可公积金,4,室,2,厅,2,卫,中层(共33层),129㎡,2020年建造,75,
南,5521元/㎡,富力天禧花园,紫金,紫金城区,东环路,（买星河丹堤找我优惠）找我有折扣 富力天禧花园 走量放优惠了,3,室,2,厅,2,卫,低层(共25层),96㎡,2021年建造,53,
南北,8675元/㎡,东江湾名门世家,源城,源城城区,"红星东路,近永康大道",急售 名门世家复式 中间楼层 视野,6,室,2,厅,5,卫,中层(共25层),415㎡,2019年建造,360,
南北,3881元/㎡,顺和名苑,源城,源城城区,力王大道2号,顺和名苑 精装修2房 享受龙光城配套 仅售26万 笋！,2,室,2,厅,1,卫,低层(共7层),67㎡,2014年建造,26,
南,5952元/㎡,福新大厦,源城,源城城区,广场路60号,火车站义乌旁 福新大厦。两房两厅一卫 精装修.,2,室,2,厅,1,卫,中层(共11层),82㎡,2018年建造,48.8,
南,4843元/㎡,天铭苑,源城,源城城区,华达北街,"天铭苑95平46万3室1厅1卫,业主诚意抛售",3,室,1,厅,1,卫,中层(共7层),95㎡,2007年建造,46,
东南,5690元/㎡,泰和雅苑,源城,源城城区,永和西路81号,笋笋笋！！！泰和雅苑116平66万3室2厅2卫，,3,室,2,厅,2,卫,中层(共9层),116㎡,2015年建造,66,
南,5728元/㎡,雅居乐花园,源城,源城城区,越王大道247号,雅居乐213平方5房2卫2厅带车位 出售，单价仅5字头,5,室,2,厅,2,卫,低层(共29层),213㎡,2008年建造,122,
南北,10547元/㎡,东江首府,源城,源城城区,沿江东路188号,东江 豪华装修193万带全屋订制家私，另外两个车另外算,4,室,2,厅,3,卫,低层(共32层),183㎡,2010年建造,193,
南,4980元/㎡,天虹雅苑,源城,源城城区,河埔大道中311号,天虹雅苑，三房两厅两卫，送家私电齐全，仅售47.9万,3,室,2,厅,2,卫,中层(共10层),96㎡,2012年建造,47.8,
南,7575元/㎡,雅居乐花园新地,源城,源城城区,文昌路,雅居乐新地 三房中间楼层 视野非常好 无遮挡,3,室,2,厅,2,卫,中层(共20层),108㎡,2018年建造,81.8,
南,7372元/㎡,东江首府,源城,源城城区,沿江东路188号,业主外地发展 便宜卖 东江 笋三房 毛坯价格买精装,3,室,2,厅,2,卫,低层(共33层),126.2㎡,2011年建造,93,
东南,7923元/㎡,东江首府,源城,源城城区,沿江东路188号,东江 一线江景全新装修没入住5房3卫201平 仅售159万,5,室,2,厅,3,卫,低层(共33层),200.7㎡,2008年建造,159,
南北,2633元/㎡,四耳桥东巷34号住宅楼,源城,源城城区,四耳桥东巷34号,文明路大四房二厅二卫136平方无分摊.生活配套齐全35.8万,4,室,2,厅,2,卫,高层(共7层),136㎡,1992年建造,35.8,
东,7799元/㎡,雅居乐花园新地,源城,源城城区,文昌路,急！急！雅居乐新地 3房2厅精装修 随时方便看房,3,室,2,厅,2,卫,高层(共32层),109㎡,2010年建造,85,
南,3922元/㎡,恒大雅苑,源城,源城城区,河源大道,恒大雅苑40万买3房 送家电 送车位 送10年物业费 员工价,3,室,2,厅,1,卫,低层(共31层),102㎡,2018年建造,40,
南北,6356元/㎡,宝豪御龙湾二期,源城,源城城区,新兴路101号,笋房急售 御龙湾二期江景小区南北通透4房118平 仅售75万,4,室,2,厅,2,卫,低层(共18层),118㎡,2016年建造,75,
南,4527元/㎡,中昂祥云府,源城,源城城区,科技七路,首付 6万买朝南3房 近学 校 近公园 支持公积金贷款,3,室,2,厅,2,卫,中层(共32层),95㎡,2019年建造,43,
南,4527元/㎡,中昂祥云府,源城,源城城区,科技七路,43万买朝南看江3房 送家电 送车位 首付5 万 支持公积金,3,室,2,厅,2,卫,中层(共32层),95㎡,2020年建造,43,
南北,5748元/㎡,敏捷悦江府,源城,源城城区,科技七路,50万买精装修江景3房 首付5 万 送家电 近公园 员工价,3,室,2,厅,2,卫,中层(共24层),87㎡,2018年建造,50,
东南,6695元/㎡,万隆都市100小区,源城,源城城区,建设大道,万隆都市100万隆商圈 中高层朝南3房118平方 仅售79万,3,室,2,厅,2,卫,高层(共28层),118㎡,2018年建造,79,
南,5536元/㎡,龙光城,源城,源城城区,河源大道,龙光城 62万买精装修4房 送家电 送车位 支持公积金贷款,4,室,2,厅,2,卫,低层(共32层),112㎡,2018年建造,62,
南北,5618元/㎡,龙光城,源城,源城城区,河源大道,龙光城精装3房两厅两卫 大城,2,室,2,厅,2,卫,低层(共31层),89㎡,2020年建造,50,
南北,7864元/㎡,雅居乐花园新地,源城,源城城区,文昌路,亏本出售！业主回款，雅居乐新地四房，装修房毛胚价,4,室,2,厅,2,卫,低层(共32层),132㎡,2019年建造,103.8,
南北,5579元/㎡,龙光城,源城,源城城区,河源大道,单价5字头 首期5千起 送车位 免首年月供 再送全屋家电,3,室,2,厅,2,卫,中层(共33层),95㎡,2020年建造,53,
南,3432元/㎡,恒大雅苑,源城,源城城区,河源大道,手里5千就能有一套自己的房子 市中心带装修3房,3,室,2,厅,1,卫,中层(共32层),102㎡,2021年建造,35,
南北,3530元/㎡,恒大雅苑,源城,源城城区,河源大道,5千买市中心带装修的房子 送家电 朝南看湖景 视野无遮挡,3,室,2,厅,1,卫,中层(共32层),102㎡,2021年建造,36,
南,5883元/㎡,雅居乐金麟府,源城,源城城区,越王大道,雅居乐金麟府 万达坚基双商圈 超宽楼间距 支持公积金贷款,3,室,2,厅,2,卫,低层(共30层),102㎡,2018年建造,60,
南,5524元/㎡,万达广场,东源,东源城区,东江大道,手里5千入住河源万达 小区对面就是公园 近中小 学,3,室,2,厅,2,卫,中层(共32层),105㎡,2021年建造,58,
东南,3543元/㎡,幸福家园,和平县,和平城区,龙湖南路23号,龙湖幸福家园二房二厅一卫一阳台售价24.8元,2,室,2,厅,1,卫,低层(共19层),70㎡,2017年建造,24.8,
南,10000元/㎡,东江湾名门世家,源城,源城城区,"红星东路,近永康大道",名门世家 复式四居 带340平方平台，稀.缺资源!,4,室,2,厅,3,卫,低层(共26层),175㎡,2016年建造,175,
东,7937元/㎡,雅居乐花园,源城,源城城区,越王大道247号,降价了。雅居乐，四房两卫，瓷片上墙，仅100万,4,室,2,厅,2,卫,低层(共32层),126㎡,2015年建造,100,
南北,5059元/㎡,敏捷悦江府,源城,源城城区,科技七路,首付 5万 精装三房员工价 中央活力区 智能家居 配套成熟,3,室,2,厅,2,卫,中层(共33层),85㎡,2020年建造,43,
南,4422元/㎡,振业深河湾,源城,源城城区,高新一路,首 付3万月供1900 国企开发公积金贷款 送家电,3,室,2,厅,2,卫,中层(共33层),95㎡,2018年建造,42,
南北,5618元/㎡,龙光城,源城,源城城区,河源大道,首付4 万买市区精装3房 南北通透双阳台 送车位 员工价,3,室,2,厅,2,卫,中层(共31层),89㎡,2019年建造,50,
南,5186元/㎡,碧桂园凤凰名筑,东源,东源城区,新河大道,国庆特惠 碧桂园凤凰名筑3房精装修 首付低仅56万楼层任选,3,室,2,厅,2,卫,中层(共32层),108㎡,2021年建造,56,
南,4464元/㎡,新城家和小区,龙川,龙川城区,海东路,家和小区旁边 楼梯中层 格局方正采光好 首付20万左右 笋盘,4,室,2,厅,2,卫,中层(共8层),125㎡,2013年建造,55.8,
南北,5639元/㎡,福新大厦,源城,源城城区,广场路60号,首 付8.8万，福新大厦精装大两房，瓷砖上墙保养新，送家私电,2,室,2,厅,1,卫,中层(共10层),83㎡,2015年建造,46.8,
东北,6874元/㎡,宝豪御龙湾二期,源城,源城城区,新兴路101号,笋房急售 御龙湾二期江景房5房143.74平仅售98.8万,5,室,2,厅,2,卫,高层(共25层),143.7㎡,2016年建造,98.8,
南,7087元/㎡,宝豪御龙湾二期,源城,源城城区,新兴路101号,御龙湾二期近高铁全江景房 楼层朝南4房127平 仅售90万,4,室,2,厅,2,卫,高层(共13层),127㎡,2015年建造,90,
南,3530元/㎡,恒大雅苑,源城,源城城区,河源大道,市区36万买精装3房 员工价 送家电 小区环境像公园,3,室,2,厅,1,卫,中层(共31层),102㎡,2021年建造,36,
南,5790元/㎡,雅居乐花园,源城,源城城区,越王大道247号,单价5字头 万达旁 雅居乐美的源著 高得房率 近百米楼间距,3,室,2,厅,2,卫,中层(共33层),95㎡,2020年建造,55,
南,7046元/㎡,龙光玖云台,东源,东源城区,东源大道,万达旁 龙光玖云台 62万买精装3房 南北通透双阳台,3,室,2,厅,2,卫,低层(共33层),88㎡,2018年建造,62,
南,3927元/㎡,东江1号公馆,龙川,龙川城区,沿江路,东江一号公馆附近 楼梯中层格局方正采光好 交通方便 红本在手,3,室,2,厅,1,卫,低层(共8层),109㎡,2011年建造,42.8,
南,4106元/㎡,中昂祥云府,源城,源城城区,科技七路,手里3千买市中心江景3房 大阳台 视野无遮挡 月供2800,3,室,2,厅,2,卫,中层(共33层),95㎡,2021年建造,39,
北,6154元/㎡,凤馨苑,源城,源城城区,东环路,江东新区中骏世界城旁凤馨苑精装修三房，视野开阔,3,室,2,厅,2,卫,中层(共30层),117㎡,2018年建造,72,
南北,5956元/㎡,龙光城,源城,源城城区,河源大道,手里5千就能买的房子 自己买房不再为房东打工 送车位 员工价,3,室,2,厅,2,卫,中层(共32层),89㎡,2018年建造,53,
南北,4009元/㎡,恒大雅苑,源城,源城城区,河源大道,40万买精装修3房 近学 校 近高铁 朝南看花园,3,室,2,厅,2,卫,中层(共31层),99.8㎡,2019年建造,40,
南北,5527元/㎡,龙光城,源城,源城城区,河源大道,市区带装修的房子 5千就能购房 6.7米大阳台 近中小 学,4,室,2,厅,2,卫,中层(共33层),112㎡,2021年建造,61.9,
南北,5429元/㎡,敏捷悦江府,源城,源城城区,科技七路,假期优惠多(敏捷悦江府) 5字头抢智能精装四房 一线江景,4,室,2,厅,2,卫,高层(共28层),105㎡,2021年建造,57,
南北,5827元/㎡,碧桂园未来城,源城,源城城区,河源大道,67万朝南4房 首付 6万 近公立中小 学 送家电 配套齐全,4,室,2,厅,2,卫,中层(共32层),115㎡,2018年建造,67,
南,3821元/㎡,雅香苑,龙川,龙川城区,登峰路576号,新城 附近 中层 有证光线充足 笋盘急售,3,室,2,厅,1,卫,中层(共8层),78㎡,2016年建造,29.8,
南北,6821元/㎡,雅居乐君悦,源城,源城城区,文昌路,笋！雅居乐君悦 173平双主卧 南北通透 仅售118万！,5,室,2,厅,3,卫,低层(共28层),173㎡,2018年建造,118,
南,5613元/㎡,碧桂园未来城,源城,源城城区,河源大道,55万朝南精装3房 首付3 万 送家电 支持公积金贷款,3,室,2,厅,2,卫,中层(共32层),98㎡,2018年建造,55,
南,5956元/㎡,龙光城,源城,源城城区,河源大道,首付5 千买市区精装3房 支持公积金贷款 送车位 送家电,3,室,2,厅,2,卫,中层(共32层),89㎡,2018年建造,53,
南北,5196元/㎡,兴业城,源城,源城城区,兴业大道,手里5千买市中心的房子 小区对面就是学 校 免息3年,3,室,2,厅,2,卫,中层(共32层),92㎡,2021年建造,47.8,
南北,6786元/㎡,万达东江城,源城,源城城区,越王大道,单价6字头 市中心四房员工价 深河市四小 南北通双阳台,4,室,2,厅,2,卫,中层(共33层),140㎡,2020年建造,95,
南,5472元/㎡,雅居乐花园,源城,源城城区,越王大道247号,单价5字头 万达旁 雅居乐美的源著 高得房率 近百米楼距,4,室,2,厅,2,卫,中层(共33层),106㎡,2020年建造,58,
南北,4681元/㎡,运恒花园,源城,源城城区,中山大道8号,（笋）运恒花园 买市区电梯4房 文化广场 万隆城 就在家门口,4,室,2,厅,2,卫,中层(共13层),147㎡,2008年建造,68.8,
南,5327元/㎡,兴业城,源城,源城城区,兴业大道,49万买3房 可租2000 送家电 首付 1万 支持公积金,3,室,2,厅,2,卫,高层(共32层),92㎡,2018年建造,49,
南北,5763元/㎡,龙光城,源城,源城城区,河源大道,龙光城 首付5 千买市区精装4房 南北通透 支持公积金贷款,4,室,2,厅,2,卫,低层(共31层),118㎡,2020年建造,68,
南,6169元/㎡,山湖海悦府,源城,源城城区,梧桐三路,68万买精装修大3房 小区对面就是中小 学 员工价 送家电,3,室,2,厅,2,卫,中层(共32层),107㎡,2021年建造,66,
南,6728元/㎡,万达东江城,源城,源城城区,越王大道,74万朝南4房 首付 9万 自 中小 学 送家电,4,室,2,厅,2,卫,中层(共32层),110㎡,2018年建造,74,
南,5327元/㎡,兴业城,源城,源城城区,兴业大道,首付3 万买精装朝南3房 中央活力区 支持公积金贷款 员工价,3,室,2,厅,2,卫,低层(共32层),92㎡,2018年建造,49,
南北,5600元/㎡,碧桂园未来城,源城,源城城区,河源大道,市区5字头带精装 南北通双阳台 可公积金 配套成熟,4,室,2,厅,2,卫,中层(共33层),125㎡,2020年建造,70,
南,6079元/㎡,雅居乐金麟府,源城,源城城区,越王大道,雅居乐金麟府 62万买市区朝南3房 万达坚基双商圈 员工价,3,室,2,厅,2,卫,中层(共32层),102㎡,2018年建造,62,
南北,7576元/㎡,时代倾城,源城,源城城区,凤凰路,现房 时代倾城 精装三房员工价 中骏商圈 近公立中小 学,3,室,2,厅,2,卫,中层(共33层),99㎡,2020年建造,75,
南,5506元/㎡,雅居乐花园,源城,源城城区,越王大道247号,总价49万入住市区 雅居乐明珠城 刚需三房 6米阳台,3,室,2,厅,2,卫,中层(共33层),89㎡,2020年建造,49,
南北,4984元/㎡,敏捷悦江府,源城,源城城区,科技七路,市区江景4房 5.9米开间 大阳台 小区旁边就是公园,4,室,2,厅,2,卫,中层(共27层),122㎡,2021年建造,60.8,
南,5613元/㎡,碧桂园未来城,源城,源城城区,河源大道,市区5字头 精装三房 月供2300 支持公积金 配套成熟,3,室,2,厅,2,卫,中层(共33层),98㎡,2020年建造,55,
南,4963元/㎡,碧水轩,源城,源城城区,沿江中路16号,笋房急售碧水轩一线江景房朝南看亚洲高喷4房133平仅售66万,4,室,2,厅,2,卫,共5层,133㎡,2006年建造,66,
